Town,Beach,Closure Reason,Count of Closure Reason
Ashby,Damon Pond Beach (DCR),Other,8
Beverly,Brackenbury,Bacterial Exceedance,4
Brewster,Flax Pond (DCR),Bacterial Exceedance,7
Brewster,Upper Mill Pond,Harmful Cyanobacteria Bloom,5
Brookfield,South Pond,Bacterial Exceedance,8
Concord,Walden Pond - Main (DCR),Other,1
Danvers,Sandy Beach (Danvers),Bacterial Exceedance,4
Dartmouth,Moses Smith Creek,Bacterial Exceedance,5
Eastham,S. Sunken Meadow,Bacterial Exceedance,6
Goshen,Upper Highland Lake - Day use area beach (DCR),Bacterial Exceedance,7
Manchester,Magnolia @ East,Bacterial Exceedance,11
Pittsfield,Lulu Pond Beach (DCR),Other,5
Salem,Children's Island - Back,Bacterial Exceedance,3
Salem,Willow Avenue,Bacterial Exceedance,4
Saugus,Peckham Pond @ Camp Nihan (DCR),Bacterial Exceedance,9
Shrewsbury,Sunset Beach,Bacterial Exceedance,6
Shutesbury,Lake Wyola (DCR),Bacterial Exceedance,7
Templeton,Beamans Pond - Campground (DCR),Bacterial Exceedance,7
Templeton,Beamans Pond - Day Use (DCR),Bacterial Exceedance,8
West Tisbury,Seth's Pond @ Town Beach,Bacterial Exceedance,6
Winchendon,Lake Dennison State Park (DCR) @ Day Use Beach,Bacterial Exceedance,7
Winchester,Shannon Beach @ Upper Mystic (DCR),Bacterial Exceedance,9
